,Year,Yeargroup,Position,Positiongroup,Top100,Track,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Key,Mode,Tempo,Loudness,KMeans
41,2005,0,42,4,1,Somewhere Else,Razorlight,0.0628,0.381,0.92,1.58e-05,0.101,0.474,6,0,156.061,-3.002,4
42,2005,0,43,4,1,No Worries,Simon Webbe,0.0876,0.483,0.893,0.00582,0.361,0.823,0,1,182.624,-5.113,2
43,2005,0,44,4,1,"One, Two Step (feat. Missy Elliott)",Ciara,0.042,0.944,0.511,0.00107,0.0379,0.842,5,0,113.046,-10.96,1
44,2005,0,45,4,1,Like Toy Soldiers,Eminem,0.0193,0.52,0.768,0.00034,0.104,0.398,8,0,79.178,-3.489,4
45,2005,0,46,4,1,Falling Stars,Sunset Strippers,0.00501,0.737,0.903,0.000531,0.0701,0.809,0,0,125.052,-6.151,2
46,2005,0,47,4,1,Hollaback Girl,Gwen Stefani,0.35,0.926,0.916,6.17e-06,0.0234,0.904,10,0,110.007,-2.221,1
47,2005,0,48,4,1,Rich Girl,Gwen Stefani,0.0294,0.856,0.754,1.49e-05,0.206,0.722,7,0,98.018,-2.728,1
48,2005,0,49,4,1,Hate It Or Love It,The Game,0.14,0.802,0.785,0.0,0.123,0.435,9,1,99.998,-4.781,0
49,2005,0,50,4,1,Lay Your Hands,Simon Webbe,0.0798,0.565,0.669,0.0,0.293,0.687,5,1,134.66,-6.46,2
50,2005,0,51,5,1,When You Tell Me That You Love Me (with Diana Ross),Westlife,0.295,0.532,0.554,0.0,0.3,0.107,4,1,74.916,-5.923,0
51,2005,0,52,5,1,I'll Be OK,McFly,0.00866,0.477,0.946,0.0,0.209,0.48,2,1,156.588,-4.279,4
52,2005,0,53,5,1,Wake Me up When September Ends,Green Day,0.023,0.546,0.814,0.0,0.0972,0.146,7,1,104.98,-5.146,4
53,2005,0,54,5,1,I See Girls - Tom Neville Radio Edit,Studio B.,0.0104,0.726,0.899,8.07e-06,0.538,0.937,11,0,127.011,-4.0,2
54,2005,0,55,5,1,Galvanize,The Chemical Brothers,0.0141,0.745,0.714,0.0222,0.363,0.365,7,1,104.003,-3.681,0
55,2005,0,56,5,1,Locked Up,Akon,0.0262,0.833,0.568,0.0,0.11,0.369,7,1,89.958,-4.312,0
56,2005,0,57,5,1,Fix You,Coldplay,0.164,0.209,0.417,0.00196,0.113,0.124,3,1,138.178,-8.74,4
57,2005,0,58,5,1,Don't Love You No More (I'm Sorry),Craig David,0.462,0.636,0.558,0.0,0.062,0.572,7,1,100.113,-7.076,0
58,2005,0,59,5,1,Goodies (feat. Petey Pablo),Ciara,0.0277,0.826,0.647,1.52e-06,0.298,0.872,5,0,102.017,-6.306,1
59,2005,0,60,5,1,Don't Lie,Black Eyed Peas,0.17,0.63,0.777,0.0,0.0597,0.613,9,1,89.81,-5.252,2
60,2005,0,61,6,1,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,0.0311,0.904,0.813,0.00697,0.0471,0.81,4,0,125.461,-7.105,1
61,2005,0,62,6,1,Best of You,Foo Fighters,0.000769,0.366,0.94,9.42e-05,0.188,0.369,1,0,130.198,-5.119,4
62,2005,0,63,6,1,Nine Million Bicycles,Katie Melua,0.585,0.569,0.26,0.00744,0.125,0.35,0,1,82.074,-14.688,3
63,2005,0,64,6,1,They,Jem,0.0237,0.728,0.817,2.23e-05,0.115,0.729,5,1,129.978,-5.61,2
64,2005,0,65,6,1,Biology,Girls Aloud,0.0326,0.542,0.959,4.53e-05,0.114,0.713,2,1,145.667,-2.882,2
65,2005,0,66,6,1,Mockingbird,Eminem,0.209,0.637,0.678,0.0,0.156,0.254,0,1,84.039,-3.798,0
66,2005,0,67,6,1,Almost Here,Brian McFadden,0.409,0.561,0.452,0.0,0.106,0.316,9,0,77.984,-7.324,3
67,2005,0,68,6,1,I Predict A Riot,Kaiser Chiefs,0.0169,0.359,0.989,0.0,0.132,0.285,8,1,158.878,-1.735,4
68,2005,0,69,6,1,Suddenly I See,KT Tunstall,0.225,0.587,0.767,0.0,0.112,0.664,0,1,100.38,-5.713,2
69,2005,0,70,6,1,Behind These Hazel Eyes,Kelly Clarkson,0.00165,0.548,0.889,0.00109,0.197,0.425,9,1,90.048,-4.682,4
70,2005,0,71,7,1,It's Like That,Mariah Carey,0.0901,0.8,0.633,0.0,0.0315,0.836,8,0,95.953,-4.875,1
71,2005,0,72,7,1,Ugly,Sugababes,0.0178,0.723,0.819,0.0,0.223,0.577,0,1,116.984,-7.764,2
72,2005,0,73,7,1,Fairytale of New York (feat. Kirsty MacColl),The Pogues,0.582,0.271,0.551,4.16e-05,0.256,0.428,2,1,78.111,-7.48,3
73,2005,0,74,7,1,Out of Touch - Radio Edit,Uniting Nations,0.00859,0.71,0.963,0.0133,0.218,0.968,11,0,129.965,-4.787,2
74,2005,0,75,7,1,Song 4 Lovers (Karaoke Version) [Originally Performed By Liberty X],Tommy Melody,0.00585,0.598,0.706,0.322,0.124,0.809,0,1,97.03,-4.642,2
75,2005,0,76,7,1,Sometimes You Can't Make It On Your Own,U2,0.00275,0.53,0.597,0.473,0.105,0.346,2,1,96.0,-5.652,4
76,2005,0,77,7,1,"Slow Down - 12"" Version",Bobby V.,0.179,0.568,0.732,4.92e-06,0.401,0.626,11,0,186.048,-4.896,2
77,2005,0,78,7,1,These Boots Are Made for Walkin',Jessica Simpson,0.0101,0.779,0.818,0.000381,0.0993,0.75,11,1,91.997,-7.7,2
78,2005,0,79,7,1,Shiver,Natalie Imbruglia,0.00115,0.489,0.798,2.81e-06,0.149,0.309,1,1,94.163,-4.49,4
79,2005,0,80,7,1,Star2Fall - Radio Edit,Cabin Crew,0.0116,0.697,0.939,9.04e-05,0.431,0.854,0,0,126.992,-5.591,2
80,2005,0,81,7,1,Numb / Encore,JAY-Z,0.0603,0.687,0.793,0.0,0.582,0.751,2,1,107.045,-4.254,2
81,2005,0,82,7,1,Everyday I Love You Less And Less,Kaiser Chiefs,0.00855,0.49,0.955,0.0,0.281,0.502,1,0,160.051,-3.339,4
82,2005,0,83,7,1,Hush,LL COOL J,0.128,0.768,0.725,0.0,0.122,0.794,11,1,98.963,-6.543,1
83,2005,0,84,7,1,The One I Love,David Gray,0.00925,0.6,0.727,3e-06,0.0524,0.628,0,1,106.987,-4.305,2
84,2005,0,85,7,1,Wires,Athlete,0.222,0.501,0.565,0.000336,0.185,0.469,3,0,134.509,-6.596,4
85,2005,0,86,7,1,Only U - No Intro,Ashanti,0.0374,0.601,0.621,1.75e-06,0.188,0.278,6,0,94.547,-5.576,0
86,2005,0,87,7,1,In the Morning,The Coral,0.0252,0.644,0.777,0.0,0.0554,0.966,6,0,126.257,-6.165,2
87,2005,0,88,7,1,Boulevard of Broken Dreams,Green Day,0.00552,0.496,0.682,2.94e-05,0.0589,0.474,8,1,167.06,-4.095,4
88,2005,0,89,7,1,Let There Be Love,Oasis,0.272,0.475,0.468,0.0,0.343,0.13,5,1,74.04,-4.774,3
89,2005,0,90,7,1,California - Tchad Blake Mix,Phantom Planet,0.0387,0.4,0.805,5.4e-05,0.109,0.324,4,1,158.459,-7.305,4
90,2005,0,91,7,1,Ooh La La,Goldfrapp,0.00996,0.48,0.676,0.642,0.116,0.199,4,0,144.514,-7.727,4
91,2005,0,92,7,1,Do You Want To,Franz Ferdinand,0.0724,0.412,0.944,0.000493,0.801,0.79,0,1,123.091,-2.896,2
92,2005,0,93,7,1,How We Do,The Game,0.0455,0.862,0.648,0.0,0.0332,0.637,4,0,98.012,-7.401,1
93,2005,0,94,7,1,Gasolina,Daddy Yankee,0.322,0.852,0.797,2.69e-06,0.0845,0.741,0,1,96.008,-6.543,1
94,2005,0,95,7,1,Outta Control - Remix,50 Cent,0.0268,0.77,0.587,0.0,0.0621,0.574,8,0,92.009,-5.99,0
95,2005,0,96,7,1,Army of Lovers (Originally Performed By Lee Ryan) [Full Vocal Version],Paris Music,0.136,0.601,0.438,0.0,0.254,0.338,11,1,77.967,-6.331,0
96,2005,0,97,7,1,Girl,Destiny's Child,0.31,0.567,0.747,0.0,0.04,0.556,6,0,89.036,-6.019,4
97,2005,0,98,7,1,Diamonds From Sierra Leone - Remix,Kanye West,0.258,0.672,0.814,0.0,0.164,0.379,7,1,97.043,-3.768,0
98,2005,0,99,7,1,Ass Like That,Eminem,0.409,0.646,0.796,0.0,0.107,0.676,2,1,83.093,-6.152,1
99,2005,0,100,7,1,Oh (feat. Ludacris),Ciara,0.000298,0.8,0.496,0.0,0.0697,0.357,7,1,128.29,-7.135,0
100,2006,0,1,0,1,Crazy,Gnarls Barkley,0.0172,0.835,0.741,0.0577,0.0826,0.612,8,1,111.963,-1.609,1
101,2006,0,2,0,1,A Moment Like This,Leona Lewis,0.423,0.261,0.562,7.54e-06,0.131,0.167,8,1,70.543,-3.667,3
102,2006,0,3,0,1,Hips Don't Lie (feat. Wyclef Jean),Shakira,0.284,0.778,0.824,0.0,0.405,0.758,10,0,100.024,-5.892,1
103,2006,0,4,0,1,I Don't Feel Like Dancin',Scissor Sisters,0.018,0.71,0.917,0.0,0.335,0.83,7,1,108.031,-3.385,2
104,2006,0,5,0,1,I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,0.544,0.7,0.465,0.0,0.606,0.719,4,1,108.102,-6.815,1
105,2006,0,6,0,1,From Paris to Berlin,Infernal,0.096,0.741,0.869,0.0,0.0396,0.839,9,0,126.069,-6.534,2
106,2006,0,7,0,1,Maneater,Nelly Furtado,0.0261,0.796,0.777,0.000358,0.121,0.787,6,1,132.722,-4.81,1
107,2006,0,8,0,1,Patience,Take That,0.142,0.309,0.783,1.11e-06,0.118,0.372,10,1,175.788,-4.154,4
108,2006,0,9,0,1,SOS,Rihanna,0.004,0.677,0.671,5.07e-05,0.413,0.527,7,1,137.046,-4.905,0
109,2006,0,10,0,1,SexyBack (feat. Timbaland),Justin Timberlake,0.0584,0.967,0.583,0.0,0.0519,0.964,7,0,117.0,-5.562,1
110,2006,0,11,1,1,Smile,Lily Allen,0.00143,0.632,0.639,0.0,0.221,0.733,5,1,95.506,-5.938,2
111,2006,0,12,1,1,No Tomorrow,Orson,0.00593,0.653,0.638,0.0,0.061,0.771,3,0,124.072,-4.667,2
112,2006,0,13,1,1,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.,0.0949,0.833,0.628,1.6e-06,0.282,0.645,2,1,106.328,-7.041,1
113,2006,0,14,1,1,Chasing Cars,Snow Patrol,0.199,0.56,0.595,6.47e-05,0.132,0.144,9,1,104.011,-4.53,0
114,2006,0,15,1,1,Everytime We Touch,Cascada,0.00281,0.633,0.976,1.29e-05,0.382,0.493,8,1,142.027,-5.362,2
115,2006,0,16,1,1,No Promises,Shayne Ward,0.539,0.496,0.507,0.0,0.115,0.203,4,1,79.808,-6.073,3
116,2006,0,17,1,1,America,Razorlight,0.299,0.44,0.567,5.07e-06,0.286,0.194,2,1,90.492,-4.94,4
118,2006,0,19,1,1,Naive,The Kooks,0.0688,0.547,0.816,0.0,0.127,0.722,8,0,102.765,-6.165,2
119,2006,0,20,1,1,Put Your Hands Up For Detroit - (Tribute to Fedde Le Grand),Studio Allstars,0.00942,0.804,0.7,0.112,0.0975,0.652,11,0,128.075,-8.783,1
120,2006,0,21,2,1,Monster,The Automatic,0.00035,0.541,0.815,4.5e-06,0.117,0.64,4,0,141.485,-7.223,2
121,2006,0,22,2,1,Thunder in My Heart Again (Radio Edit),Meck,0.000241,0.679,0.922,0.69,0.0697,0.806,2,0,129.016,-4.67,2
122,2006,0,23,2,1,Unfaithful,Rihanna,0.839,0.588,0.391,0.0,0.227,0.349,0,0,144.069,-8.607,3
123,2006,0,24,2,1,Put Your Records On,Corinne Bailey Rae,0.167,0.739,0.511,1.34e-06,0.133,0.542,9,1,96.038,-7.844,0
124,2006,0,25,2,1,You Give Me Something,James Morrison,0.21,0.559,0.671,0.0,0.0869,0.577,7,1,79.493,-7.109,4
125,2006,0,26,2,1,Welcome to the Black Parade,My Chemical Romance,0.000289,0.217,0.905,0.00011,0.222,0.236,2,1,96.95,-4.103,4
126,2006,0,27,2,1,Smack That,Akon,0.321,0.939,0.742,0.0,0.107,0.924,5,0,118.978,-5.171,1
127,2006,0,28,2,1,Voodoo Child,Rogue Traders,0.00172,0.652,0.959,0.000325,0.115,0.803,4,1,132.453,-5.047,2
128,2006,0,29,2,1,Irreplaceable,Beyoncé,0.0293,0.447,0.694,5.46e-06,0.167,0.509,7,0,175.868,-4.637,4
129,2006,0,30,2,1,Who Knew,P!nk,0.00462,0.688,0.734,0.0,0.0756,0.46,9,1,140.004,-4.569,0
130,2006,0,31,3,1,Beep,The Pussycat Dolls,0.00914,0.935,0.745,0.0,0.116,0.518,7,1,103.691,-6.391,1
131,2006,0,32,3,1,So Sick,Ne-Yo,0.246,0.452,0.574,0.0,0.189,0.58,6,1,92.791,-8.336,4
132,2006,0,33,3,1,Ain't No Other Man,Christina Aguilera,0.00376,0.862,0.742,0.00855,0.103,0.511,7,1,127.91,-4.722,1
133,2006,0,34,3,1,Pump It,Black Eyed Peas,0.0093,0.649,0.931,0.0,0.751,0.744,1,0,153.645,-3.15,2
134,2006,0,35,3,1,One,Mary J. Blige,0.0841,0.344,0.874,0.0,0.129,0.269,0,1,185.888,-3.161,4
135,2006,0,36,3,1,Something Kinda Ooooh,Girls Aloud,0.0206,0.696,0.913,0.0,0.38,0.847,11,0,131.927,-4.056,2
137,2006,0,38,3,1,Promiscuous,Nelly Furtado,0.0569,0.808,0.97,6.13e-05,0.154,0.868,10,0,114.328,-6.098,2
138,2006,0,39,3,1,She Moves In Her Own Way,The Kooks,0.276,0.431,0.81,0.0,0.0906,0.795,7,1,76.412,-5.379,2
139,2006,0,40,3,1,Was It Good,Chico DeBarge,0.764,0.881,0.187,0.9,0.0933,0.291,8,0,143.538,-14.234,3
140,2006,0,41,4,1,Ridin',Chamillionaire,0.189,0.787,0.799,0.0,0.3,0.835,8,0,143.052,-4.68,1
141,2006,0,42,4,1,Somebody's Watching Me - Hi_Tack Radio Edit,BeatFreakz,0.0136,0.604,0.931,3.17e-05,0.234,0.758,9,1,127.99,-8.794,2
142,2006,0,43,4,1,Dani California,Red Hot Chili Peppers,0.0193,0.556,0.913,8.59e-06,0.346,0.73,0,1,96.184,-2.36,2
143,2006,0,44,4,1,Sorry,Madonna,0.00121,0.589,0.877,0.013,0.169,0.443,0,0,132.971,-6.229,4
144,2006,0,45,4,1,Last Request,Paolo Nutini,0.241,0.605,0.704,0.0,0.137,0.4,5,1,80.925,-6.564,4
145,2006,0,46,4,1,Love Don't Let Me Go (Walking Away) - David Guetta & Joachim Garraud's F*** Me I'm Famous Mix,David Guetta,0.0184,0.715,0.632,0.0196,0.272,0.451,5,0,128.355,-9.97,0
146,2006,0,47,4,1,When You Were Young,The Killers,0.000152,0.467,0.988,0.0484,0.28,0.321,11,1,130.433,-3.313,4
147,2006,0,48,4,1,Control Myself,LL COOL J,0.00928,0.825,0.876,1.2e-05,0.205,0.48,10,0,120.066,-6.556,2
148,2006,0,49,4,1,Boys Will Be Boys,The Ordinary Boys,0.000767,0.551,0.902,0.0,0.203,0.91,11,0,143.798,-5.498,2
149,2006,0,50,4,1,Me & U,Cassie,0.352,0.803,0.454,0.0,0.0655,0.739,8,0,99.99,-4.802,1
150,2006,0,51,5,1,When The Sun Goes Down,Arctic Monkeys,0.0341,0.348,0.875,0.0,0.117,0.407,11,0,169.152,-4.758,4
151,2006,0,52,5,1,In The Morning,Razorlight,0.00308,0.61,0.852,0.000954,0.366,0.695,4,0,124.174,-3.353,2
152,2006,0,53,5,1,Check On It (feat. Bun B & Slim Thug),Beyoncé,0.0708,0.705,0.796,0.0,0.388,0.864,7,1,166.042,-6.845,2
153,2006,0,54,5,1,Rock This Party - Everybody Dance Now,Bob Sinclar,0.0714,0.893,0.823,0.0,0.0509,0.902,5,0,128.009,-3.708,1
154,2006,0,55,5,1,My Love (feat. T.I.),Justin Timberlake,0.277,0.771,0.68,1.18e-05,0.682,0.808,11,0,119.952,-5.881,1
155,2006,0,56,5,1,Deja Vu (feat. Jay-Z),Beyoncé,0.0071,0.644,0.746,1.22e-05,0.0743,0.355,7,1,105.253,-4.941,4
156,2006,0,57,5,1,Buttons,The Pussycat Dolls,0.178,0.57,0.821,0.0,0.289,0.408,2,1,210.857,-4.38,4
157,2006,0,58,5,1,All Time Love,Will Young,0.922,0.415,0.223,0.0,0.0999,0.378,9,1,78.415,-9.621,3
158,2006,0,59,5,1,Run It! (feat. Juelz Santana),Chris Brown,0.0246,0.846,0.482,0.0,0.393,0.212,1,0,100.969,-6.721,0
159,2006,0,60,5,1,You’re All I Have (Reworked),Snow Patrol,0.785,0.551,0.211,0.00117,0.109,0.155,4,1,111.169,-14.886,3
160,2006,0,61,6,1,Say Say Say (Waiting 4 U) - Steff da Campo & 71 Digits Radio Mix,Hi_Tack,0.181,0.536,0.826,0.00509,0.461,0.563,11,0,124.424,-6.014,4
161,2006,0,62,6,1,The Rose,Westlife,0.79,0.28,0.2,0.0,0.081,0.178,9,1,129.61,-9.66,3
163,2006,0,64,6,1,Fill My Little World,The Feeling,0.0333,0.462,0.783,0.0,0.348,0.68,7,1,175.964,-7.814,4
164,2006,0,65,6,1,Sexy Love,Ne-Yo,0.297,0.693,0.516,0.000127,0.0604,0.494,8,1,94.02,-6.446,0
165,2006,0,66,6,1,Yeah Yeah - D Ramirez Vocal Radio Edit,Bodyrox,0.069,0.778,0.618,0.0,0.362,0.693,0,1,126.065,-7.667,1
166,2006,0,67,6,1,I'll Be Ready - Radio Version,Sunblock,0.00541,0.641,0.904,0.00275,0.0961,0.671,7,1,128.028,-4.249,2
167,2006,0,68,6,1,Valerie,The Zutons,0.0188,0.342,0.873,2.19e-05,0.164,0.85,5,0,168.74,-3.152,2
168,2006,0,69,6,1,Never Be Lonely,The Feeling,0.039,0.493,0.716,0.0,0.332,0.622,5,1,169.977,-7.502,4
169,2006,0,70,6,1,U + Ur Hand,P!nk,0.00144,0.709,0.891,0.0,0.034,0.886,0,1,141.04,-3.688,2
170,2006,0,71,7,1,You Got The Love - New Voyager Radio Edit,The Source & Candi Staton,0.0523,0.591,0.898,2.73e-06,0.411,0.482,6,1,107.094,-4.78,4
171,2006,0,72,7,1,Heartbeats,José González,0.977,0.589,0.177,0.714,0.0958,0.311,3,1,88.409,-14.891,3
172,2006,0,73,7,1,Boogie 2Nite - Seamus Haji Big Love Edit,Booty Luv,0.0265,0.671,0.883,0.000562,0.447,0.831,5,0,126.923,-5.882,2
173,2006,0,74,7,1,Is It Any Wonder?,Keane,3.82e-05,0.489,0.955,0.000178,0.334,0.816,11,0,129.352,-2.771,2
175,2006,0,76,7,1,Come to Me (feat. Nicole Scherzinger),Diddy,0.0176,0.819,0.485,0.0,0.658,0.386,6,0,96.998,-6.45,0
176,2006,0,77,7,1,Stoned In Love - Radio Edit,Chicane,0.000265,0.637,0.879,0.00276,0.0736,0.682,1,0,130.057,-6.024,2
177,2006,0,78,7,1,Empire,Kasabian,0.00299,0.475,0.905,5.28e-05,0.328,0.279,4,0,119.9,-4.918,4
178,2006,0,79,7,1,Chelsea Dagger,The Fratellis,0.0505,0.512,0.817,0.0,0.0775,0.552,7,1,154.607,-3.154,4
179,2006,0,80,7,1,Sewn,The Feeling,0.142,0.554,0.614,0.0,0.0836,0.219,3,1,150.033,-8.976,4
180,2006,0,81,7,1,Nature's Law,Embrace,0.229,0.499,0.686,2.32e-05,0.0827,0.33,5,0,95.927,-5.634,4
181,2006,0,82,7,1,"Steady, As She Goes",The Raconteurs,0.0132,0.525,0.578,0.00916,0.108,0.537,9,1,123.696,-4.563,4
182,2006,0,83,7,1,Because of You,Kelly Clarkson,0.254,0.583,0.584,0.0,0.123,0.136,5,0,140.039,-5.362,0
183,2006,0,84,7,1,Supermassive Black Hole,Muse,0.0492,0.668,0.921,0.00517,0.0877,0.782,7,1,120.0,-3.727,2
184,2006,0,85,7,1,Rehab,Amy Winehouse,0.0541,0.407,0.558,1.51e-06,0.34,0.777,0,1,71.815,-13.609,4
185,2006,0,86,7,1,Checkin' It Out,Lil' Chris,0.0193,0.583,0.968,0.00021,0.0488,0.694,1,1,155.035,-3.807,2
186,2006,0,87,7,1,Stupid Girls,P!nk,0.000738,0.683,0.886,0.00188,0.0524,0.566,4,0,100.04,-5.045,2
187,2006,0,88,7,1,Star Girl,McFly,0.00227,0.524,0.648,0.0,0.0668,0.789,3,1,77.95,-4.024,2
188,2006,0,89,7,1,Don't Stop Me Now - Remastered 2011,Queen,0.0472,0.563,0.865,0.000191,0.77,0.601,5,1,156.271,-5.277,2
189,2006,0,90,7,1,Touch It,Busta Rhymes,0.0043,0.658,0.551,0.000108,0.197,0.442,1,1,138.335,-6.62,0
190,2006,0,91,7,1,Rock Steady,All Saints,0.00982,0.625,0.93,2.05e-05,0.42,0.768,9,0,137.015,-3.405,2
191,2006,0,92,7,1,"Sugar, We're Goin Down",Fall Out Boy,0.00579,0.494,0.842,0.0,0.122,0.574,7,1,162.011,-4.784,4
192,2006,0,93,7,1,Touch The Sky,Kanye West,0.0114,0.552,0.846,0.0,0.309,0.554,9,1,98.56,-4.912,4
193,2006,0,94,7,1,Goodbye My Lover,James Blunt,0.953,0.432,0.261,0.00342,0.0903,0.273,4,1,89.567,-12.591,3
194,2006,0,95,7,1,Faster Kill Pussycat,Paul Oakenfold,3.99e-05,0.605,0.892,0.00112,0.25,0.779,9,0,125.992,-2.136,2
196,2006,0,97,7,1,Bang Bang You're Dead,Dirty Pretty Things,0.00731,0.345,0.814,4.89e-06,0.41,0.447,5,1,152.735,-3.0,4
